,links,names,ratings,price for one,cuisine
92,https://www.zomato.com/visakhapatnam/somaa-restobar-4-asilmetta-vizag/order,Somaa Restobar,4.1,₹250 for one,"Andhra, Biryani, Chinese, Continental, North Indian, Beverages"
93,https://www.zomato.com/visakhapatnam/sri-hari-hara-noodles-point-akkayyapalem-vizag/order,Sri Hari Hara Noodles Point,3.5,₹150 for one,"North Indian, Chinese, Rolls, Sichuan"
94,https://www.zomato.com/visakhapatnam/biryanis-and-more-2-siripuram-vizag/order,Biryanis And More,4.1,₹150 for one,"Biryani, South Indian, Chinese, Andhra, Sichuan"
95,https://www.zomato.com/visakhapatnam/faasos-wraps-rolls-dwaraka-nagar-vizag/order,Faasos - Wraps & Rolls,4.1,₹150 for one,"Rolls, Wraps, North Indian"
96,https://www.zomato.com/visakhapatnam/new-kalyani-mess-dwaraka-nagar-vizag/order,New Kalyani Mess,4.3,₹150 for one,"North Indian, South Indian, Chinese"
97,https://www.zomato.com/visakhapatnam/hotel-amrutham-veg-non-veg-maddilapalem-vizag/order,Hotel Amrutham Veg & Non Veg,3.3,₹150 for one,"Biryani, Chinese, Fast Food"
98,https://www.zomato.com/visakhapatnam/angels-dine-vishalaksmi-nagar-vizag/order,Angel's Dine,3.9,₹150 for one,"North Indian, Chinese, Biryani"
99,https://www.zomato.com/visakhapatnam/biryanis-lounge-dwaraka-nagar-vizag/order,Biryanis Lounge,4.3,₹150 for one,Biryani
100,https://www.zomato.com/visakhapatnam/sri-sai-chinese-restaurant-seethammadhara-vizag/order,Sri Sai Chinese Restaurant,3.3,₹150 for one,"Biryani, Chinese, Fast Food, Sichuan, Desserts"
101,https://www.zomato.com/visakhapatnam/the-desi-village-donne-biryani-vishalaksmi-nagar-vizag/order,The Desi Village - Donne Biryani,3.8,₹150 for one,"Biryani, Chinese, Andhra, Mughlai"
102,https://www.zomato.com/visakhapatnam/burgerr-bundii-1-dwaraka-nagar-vizag/order,Burgerr Bundii,4.0,₹150 for one,"Burger, Fast Food, Beverages"
103,https://www.zomato.com/visakhapatnam/golden-alfa-biryanis-allipuram-vizag/order,Golden Alfa Biryani's,3.1,₹150 for one,"Biryani, North Indian"
